586251615100895234	Thu Apr 09 19:37:31 +0000 2015	#battlefornumber10 i've even heard them saying that ed's better looking than dave now, cor! now they're going too low, &amp;%$$'z ridiculous	Betterbaking	MadiPad
584705259248943104	Sun Apr 05 13:12:51 +0000 2015	@blisswords @paulwaugh @isabelhardman @skynews do you expect any less from the murdoch empire? #battlefornumber10 was a disgrace	George Hodgson	hodgson_georgei
585442935442907136	Tue Apr 07 14:04:07 +0000 2015	blair says the eu is too important to be left to democracy basically. #battlefornumber10	The Filioque Clause	CharlesFilioque
585518658136449024	Tue Apr 07 19:05:01 +0000 2015	@davidcamerbot  .@nat_benbot what was lacking tonight was talk of hope #thewiderdebate #battlefornumber10 	Natalie Benbot	nat_benbot
583891460635893760	Fri Apr 03 07:19:07 +0000 2015	the upper house  -#battlefornumber10 #leadersdebate #ge2015 #ukip #labour #tories #massdebate	His Grace Whizz 	Doctorwhizz
584796850957484034	Sun Apr 05 19:16:48 +0000 2015	"it's not difficult to confuse a kipper

#ukip #thanetsouth #thanet #teamnigel #ukipexcuses #ge2015 #battlefornumber10"	KillingBritain	killingbritain
585781923408175104	Wed Apr 08 12:31:08 +0000 2015	#runave: the london media is your enemy. they fck with your life &amp; emotions to destroy people power. #election2015,#battlefornumber10	NewsFeed	RealNewsUKfeed
585344674510045184	Tue Apr 07 07:33:40 +0000 2015	"labours university fees reduction would eventually pay for itself #battlefornumber10 #leadersdebate 
"	Qaiss Uddin	mylamajustsank
584627885849313280	Sun Apr 05 08:05:24 +0000 2015	#bbcnews gleefully reporting #nut15 propaganda on hungry children. why not report parents to social services?. #battlefornumber10	Nana P	NanaInThames
585937327538708482	Wed Apr 08 22:48:39 +0000 2015	the bilderberg mafia: we steal your money &amp; tell you what to think.  #battlefornumber10,#london,#uknews,#ge2015,	Citizen Shane	WorkersRevParty
585290248889827331	Tue Apr 07 03:57:24 +0000 2015	"@salon #ge2015 mayday! 
paul krugman examines britain's austerity failure 
#battlefornumber10 
@bbcpolitics @lbc"	Sacr bleu	Viacom78
584112096100519937	Fri Apr 03 21:55:50 +0000 2015	what's really going on behind the scenes?    #thriller #suspense #battlefornumber10 	Rachel Amphlett	RachelAmphlett
585715586266697728	Wed Apr 08 08:07:32 +0000 2015	the imagination has neither a body nor a soul, and therefore does as it likes #imtgallery #battlefornumber10 #ge2015 #baftatv  #ruinadrink	gordon shrigley	art_campaign
585884411792662528	Wed Apr 08 19:18:23 +0000 2015	#ge2015 rt disabled people's manifesto: reclaiming our futures  #battlefornumber10 via @cdsleeds #nondom	thinkAbility	AbilityThink
585910863611240448	Wed Apr 08 21:03:30 +0000 2015	so @bbcnews use the tory edit of the ed balls interview on their main headlines? #battlefornumber10 #bbcbias	#TheCostofCameron	CameronsCost
585847874107396096	Wed Apr 08 16:53:12 +0000 2015	what happened to ed miliband's third kitchen?  #ge2015 #bbcdp #battlefornumber10... 	John Smith	Unionbuster
584659341455810560	Sun Apr 05 10:10:24 +0000 2015	i feel for ed miliband. just ate bacon &amp; mushroom sarnie and made a right pig's ear of it. not as easy as it looks #battlefornumber10	Windsor John Holden	windsorholden
583911752343126016	Fri Apr 03 08:39:44 +0000 2015	microsoft office 2010 professional brand new never $108.5 #battlefornumber10 #nfto #tbt 	Angela	MostBidded
585503063961686016	Tue Apr 07 18:03:03 +0000 2015	"more than 100 top doctors attack government record on nhs
#battlefornumber10 #leadersdebate 
"	Qaiss Uddin	mylamajustsank
583842618582380544	Fri Apr 03 04:05:02 +0000 2015	@nicola_sturbot  @ed_mili_bot confirms - again - that he won't give the british people a say on europe. #battlefornumber10 pic.twitter.	David Camerbot	davidcamerbot
583901483348942848	Fri Apr 03 07:58:56 +0000 2015	farage was on form last night, but a bit thin on the last question. #battlefornumber10	London Property Life	buylondon
585749497562669056	Wed Apr 08 10:22:17 +0000 2015	pussy got me like... #generalelection #battlefornumber10 	Keira Strettner	Keira_Hudson
584279740040749056	Sat Apr 04 09:02:00 +0000 2015	we don't need more first time buyers, we need 300,000 new homes a year and affordable housing! #whyweneedrespect #battlefornumber10	Brent Johnston	Che_Brent
585153069106778112	Mon Apr 06 18:52:17 +0000 2015	"if i had a vote in uk election i would want @nigel_farage in no 10
why ??
cause he fuking rocks  #battlefornumber10 "	Morgan Leahy	MorganLeahy
586081205818384384	Thu Apr 09 08:20:22 +0000 2015	posh boy's dual for #battlefornumber10 #ge2015 #generalelection #leadersdebate 	Renkian	_Skendong
585194289975668736	Mon Apr 06 21:36:05 +0000 2015	#labour know best, they hate people having a choice &amp; hanging onto their own money #no2eu #skypapers #bbcpapers #ge2015 #battlefornumber10	John Smith	Unionbuster
585716919828905985	Wed Apr 08 08:12:50 +0000 2015	the space of possibility  for the people, by the people,  yet answerable to no one #ge2015 #battlefornumber10 @hackneypost @hackneygazette	gordon shrigley	art_campaign
584414923544993792	Sat Apr 04 17:59:10 +0000 2015	dave brown the independent #hillsborough #jft96 #swfc #liverpoolfc #lfc #thatcher #tories #battlefornumber10 #ge2015 	NORBET	NORBET
583949488852721665	Fri Apr 03 11:09:42 +0000 2015	i think @ed_miliband came off less human than he did in #battlefornumber10. still puts the priorities of the many front and centre though.	Cardare Anbraxas	Cardare
585546829456138241	Tue Apr 07 20:56:57 +0000 2015	do not let #labour get away with it #scotsdebate #battlefornumber10 #ge2015 #skypapers #bbcpapers #newsnight #bbctw 	John Smith	Unionbuster
584801261482070016	Sun Apr 05 19:34:20 +0000 2015	#ukip #thanetsouth #thanet #teamnigel #ukipexcuses #ge2015 #battlefornumber10 #nigelfarage #purpletories #1trickpony 	Esther McVile	Ester_Mcvile
583912493459832832	Fri Apr 03 08:42:41 +0000 2015	"@a0d4c1cd150440c @bbcnews @suttonnick @thesunnewspaper amazing what you can find written on toilet paper.

#leadersdebate
#battlefornumber10"	Roland's Delectus	RolandsDelectus
585147457845272577	Mon Apr 06 18:30:00 +0000 2015	@etonoldboys dave brown the independent @smartysue #cameron #tories #ge2015 #battlefornumber10 #ukip #farage 	NORBET	NORBET
585834832749535233	Wed Apr 08 16:01:23 +0000 2015	"duncan bannatyne: i'll vote labour because of miliband's courage in taking on non-dom tax status #battlefornumber10
"	Qaiss Uddin	mylamajustsank
585786901484941312	Wed Apr 08 12:50:55 +0000 2015	"what's ed millibands favourite toy?, it's a whimpy looking superman outfit, are you tough enough ""hell yeah :-~"" #battlefornumber10"	glennp3001	glennp3001
585945634257121281	Wed Apr 08 23:21:40 +0000 2015	"the guardian view on scrapping the uks non-dom loophole: good riddance
#battlefornumber10 
"	Qaiss Uddin	mylamajustsank
